Rk,Gtm,Date,Team,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9,Opp BatAge,Opp RpG,Opp BA,Opp OBP,Opp SLG,Opp OPS,Bullpen ERA,Bullpen WHIP,Bullpen SO9
547,61,Jun 14,TBR,@,NYY,"L,0-2",8,5,2,0,2,3,4,0,1,3.21,34,137,91,0,0,3,0,30,2,0,0,0,0,1,0,3,Malachi Moore,"C.Kluber (5-62-L), L.Bard (5), C.Faucher (1)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
548,62,Jun 15,TBR,@,NYY,"L,3-4",8,3,4,1,3,2,9,2,0,3.18,28,122,76,0,0,0,1,26,0,0,1,0,0,1,1,3,Cory Blaser,"S.McClanahan (5-61-L), R.Thompson (3), S.Armstrong (3)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
549,63,Jun 16,TBR,@,NYY,"L,1-2",8.1,4,2,2,0,3,5,1,0,3.16,30,112,66,2,0,2,0,27,0,0,0,0,0,0,2,7,Mark Ripperger,"J.Beeks (3-57), M.Wisler (3), B.Raley (4-H), R.Thompson (0-BSv), J.Adam (6), C.Poche (3), S.Armstrong (0-L)",J.Beeks,2.8,3.49,1.164,7.2,1,3.2,10.3,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
550,64,Jun 17,TBR,@,BAL,"L,0-1",8,5,1,1,0,0,11,0,3,3.13,32,118,73,1,0,3,0,29,2,0,0,0,0,0,0,4,CB Bucknor,"S.Baz (5-75), C.Faucher (2-L), B.Raley (0), L.Bard (2)",S.Baz,5,4.41,1.333,9,1.7,3,10,27,4.16,0.236,0.305,0.39,0.695,3.36,1.165,8.7
551,65,Jun 18,TBR,@,BAL,"W,7-6",9,10,6,5,1,3,9,0,0,3.16,41,182,118,3,1,1,0,38,2,0,0,0,0,1,0,7,Jeff Nelson,"J.Springs (5-38), M.Wisler (1), J.Adam (1-H), R.Thompson (1-BSv), S.Armstrong (1), C.Faucher (0-W), C.Poche (1-Sv)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,27,4.16,0.236,0.305,0.39,0.695,3.36,1.165,8.7
552,66,Jun 19,TBR,@,BAL,"L,1-2",8,4,2,2,0,1,7,1,1,3.15,29,112,78,0,0,1,0,27,1,0,0,0,0,0,0,2,Stu Scheurwater,"C.Kluber (4-61-L), L.Bard (1)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,27,4.16,0.236,0.305,0.39,0.695,3.36,1.165,8.7
553,67,Jun 20,TBR,,NYY,"L,2-4",9,7,4,3,1,2,11,1,0,3.15,36,155,97,0,0,2,0,33,1,1,0,0,1,1,1,4,Ryan Blakney,"S.McClanahan (4-67), R.Thompson (1), C.Faucher (1), J.Adam (1-L)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
554,68,Jun 21,TBR,,NYY,"W,5-4",9,5,4,4,0,5,10,1,0,3.16,36,140,86,4,2,0,0,31,2,0,0,0,0,0,1,7,Marvin Hudson,"J.Beeks (4-43), S.Armstrong (2-W), M.Wisler (2-H), R.Thompson (0-H), B.Raley (3-H), J.Adam (0-H), C.Poche (2-Sv)",J.Beeks,2.8,3.49,1.164,7.2,1,3.2,10.3,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
555,69,Jun 22,TBR,,NYY,"L,4-5",9,7,5,4,1,8,8,3,1,3.17,44,174,97,7,0,0,0,35,0,0,0,0,0,1,0,7,Junior Valentine,"S.Baz (4-56), B.Raley (0), C.Faucher (1-H), J.Adam (0-H), C.Poche (0-H), R.Thompson (0-H), R.Garza (11-BL)",S.Baz,5,4.41,1.333,9,1.7,3,10,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
556,70,Jun 24,TBR,,PIT,"W,4-3",10,8,3,3,0,0,17,3,1,3.17,39,156,111,0,0,1,0,38,0,0,0,0,0,0,0,5,Dan Merzel,"J.Springs (5-55), M.Wisler (2), C.Poche (1), B.Raley (1), J.Adam (1-W)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,26.3,3.65,0.222,0.291,0.364,0.655,3.36,1.165,8.7
557,71,Jun 25,TBR,,PIT,"W,6-5",9,8,5,5,0,2,9,2,0,3.19,37,133,88,0,0,0,0,34,2,0,1,1,0,0,0,3,James Hoye,"C.Kluber (5-56), J.Beeks (3-BSv), R.Garza (2-W)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,26.3,3.65,0.222,0.291,0.364,0.655,3.36,1.165,8.7
558,72,Jun 26,TBR,,PIT,"W,4-2",9,6,2,2,0,1,12,1,0,3.18,34,133,93,0,0,0,0,33,1,0,0,0,0,0,0,3,Angel Hernandez,"S.McClanahan (5-75-W), J.Adam (1-H), B.Raley (1-Sv)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,26.3,3.65,0.222,0.291,0.364,0.655,3.36,1.165,8.7
559,73,Jun 28,TBR,,MIL,"L,3-5",9,9,5,5,0,4,8,2,0,3.2,37,163,104,1,1,1,0,33,2,0,0,0,0,0,2,4,Larry Vanover,"S.Baz (5-63), M.Wisler (3-BL), R.Garza (2), S.Armstrong (6)",S.Baz,5,4.41,1.333,9,1.7,3,10,29.1,4.48,0.235,0.315,0.409,0.724,3.36,1.165,8.7
560,74,Jun 29,TBR,,MIL,"L,3-5",9,7,5,5,0,2,13,4,2,3.23,39,152,104,0,0,0,0,34,1,0,0,1,0,1,0,6,David Rackley,"J.Beeks (3-50), R.Thompson (6), S.Armstrong (0-BSv), B.Raley (2), C.Faucher (6-L), R.Garza (0)",J.Beeks,2.8,3.49,1.164,7.2,1,3.2,10.3,29.1,4.48,0.235,0.315,0.409,0.724,3.36,1.165,8.7
561,75,Jun 30,TBR,@,TOR,"L,1-4",8,9,4,4,0,3,2,2,1,3.24,35,142,93,2,0,1,0,31,2,0,0,0,0,0,2,3,Mark Wegner,"M.Wisler (1-53), R.Yarbrough (24-L), C.Faucher (0)",M.Wisler,2.25,4.25,1,6.1,1.2,2.9,7.2,27.1,4.78,0.264,0.329,0.431,0.76,3.36,1.165,8.7
562,76,Jul 1,TBR,@,TOR,"L,2-9",8,11,9,9,0,5,1,1,0,3.32,39,130,79,0,0,0,0,34,6,0,0,0,0,0,1,4,Alan Porter,"C.Kluber (5-24-L), P.Sanders (59), D.McKay (30), B.Phillips (51)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,27.1,4.78,0.264,0.329,0.431,0.76,3.36,1.165,8.7
563,77,Jul 2(1),TBR,@,TOR,"W,6-2",9,5,2,2,0,3,10,0,0,3.3,34,129,87,2,1,0,0,31,1,0,0,0,0,0,1,3,Jeremie Rehak,"S.McClanahan (5-76-W), J.Guerra (62), P.Sanders (0)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,27.1,4.78,0.264,0.329,0.431,0.76,3.36,1.165,8.7
564,78,Jul 2(2),TBR,@,TOR,"W,11-5",9,11,5,4,1,3,4,2,0,3.31,38,128,82,2,0,0,0,33,2,0,0,1,1,0,2,3,Malachi Moore,"D.Rasmussen (21-48), D.Knight (38), R.Garza (2-W)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,27.1,4.78,0.264,0.329,0.431,0.76,3.36,1.165,8.7
565,79,Jul 3,TBR,@,TOR,"W,7-3",9,11,3,3,0,4,11,0,0,3.31,42,161,105,3,0,0,0,37,4,0,0,0,1,0,1,4,Adam Beck,"S.Baz (4-59-W), C.Ogando (99), S.Armstrong (3), J.Adam (6-Sv)",S.Baz,5,4.41,1.333,9,1.7,3,10,27.1,4.78,0.264,0.329,0.431,0.76,3.36,1.165,8.7
566,80,Jul 4,TBR,@,BOS,"L,0-4",8,11,4,3,1,1,7,1,0,3.31,35,149,100,3,1,0,1,34,1,0,0,0,0,0,1,3,Phil Cuzzi,"J.Beeks (4-53), J.Fleming (58-L), C.Faucher (3)",J.Beeks,2.8,3.49,1.164,7.2,1,3.2,10.3,28.8,4.54,0.258,0.321,0.409,0.731,3.36,1.165,8.7
567,81,Jul 5,TBR,@,BOS,"W,8-4",9,11,4,4,0,3,13,2,1,3.32,42,185,126,0,0,1,0,37,3,0,0,0,1,0,0,6,Mark Ripperger,"J.Springs (10-43), R.Thompson (5-W), B.Raley (5), S.Armstrong (1), C.Poche (10), J.Adam (1)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,28.8,4.54,0.258,0.321,0.409,0.731,3.36,1.165,8.7
568,82,Jul 6,TBR,@,BOS,"W,7-1",9,6,1,1,0,0,7,0,0,3.29,34,126,88,0,0,0,0,34,3,0,0,0,0,1,0,4,Shane Livensparger,"C.Kluber (4-71-W), C.Faucher (1), S.Armstrong (0), M.Wisler (5)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,28.8,4.54,0.258,0.321,0.409,0.731,3.36,1.165,8.7
569,83,Jul 8,TBR,@,CIN,"L,1-2",9.1,4,2,1,1,4,12,1,1,3.26,35,165,106,0,0,0,0,29,1,0,0,1,0,0,2,5,Edwin Moscoso,"S.McClanahan (5-68), C.Poche (2), R.Thompson (2), J.Adam (2), M.Wisler (1-L)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,29.4,4,0.235,0.304,0.372,0.676,3.36,1.165,8.7
570,84,Jul 9,TBR,@,CIN,"L,4-5",9,13,5,4,1,3,13,0,2,3.27,45,190,126,4,3,0,0,40,2,0,0,0,0,0,0,8,Alfonso Márquez,"D.Rasmussen (6-58), J.Beeks (4), R.Thompson (0-H), J.Adam (0-H), B.Raley (3-H), C.Poche (0-BSv), M.Wisler (0), C.Faucher (2-BL)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,29.4,4,0.235,0.304,0.372,0.676,3.36,1.165,8.7
571,85,Jul 10,TBR,@,CIN,"L,5-10",8,14,10,10,0,0,8,3,1,3.35,40,150,105,0,0,0,0,39,3,1,0,0,0,0,0,4,Lance Barrett,"S.Baz (6-15-L), P.Sanders (7), S.Armstrong (3), R.Thompson (0)",S.Baz,5,4.41,1.333,9,1.7,3,10,29.4,4,0.235,0.304,0.372,0.676,3.36,1.165,8.7
